ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
3,8,18,490,523,496.33,,0,496,538,487,
16,6,9.75,466,511,481,507.67,1,467,495,456,517
17,5,9.42,461,500.5,469,488.67,0,464,502,428,497
23,20,21.42,502.5,529,531,534.33,0,540,537,551,551
41,12,16.17,511.5,525.5,518,531.33,1,525,535,512,556
65,16,17.33,509,514.5,537,547.33,1,531,531,522,534
72,5,7.17,465.5,464,449.67,478,0,448,467,442,447
106,6,10.08,486,533.5,473.33,507.67,1,473,512,447,507
107,7,10.92,470.5,479.5,470,496.33,1,464,502,456,481
109,5,9.25,441.5,495,433.67,487,0,414,481,423,497
121,4,7.17,466.5,485.5,449.67,467,1,448,467,423,452
126,12,16.08,513,508.5,514.67,535.33,0,531,542,522,551
130,6,7.75,470,477,467,482.33,1,448,479,452,461
132,6,8,470,459,453,463.67,0,451,458,433,452
133,6,8,472,480,440.33,462.33,1,451,455,428,433
138,17,27,507,520,536.33,,1,537,562,522,
140,15,24,514,514,522.67,,1,519,538,517,
144,11,15.5,518,521.5,519.33,541,0,503,526,517,539
146,10,11.5,483,502.5,513,509.33,1,510,507,512,517
167,7,9.25,496,498,490,503,0,486,496,497,502
188,5,7.17,451.5,465,451.33,468.33,1,444,458,423,456
214,17,18.92,521,516.5,519.67,521.33,1,510,516,517,512
223,6,9.83,484.5,516,485.67,514.33,0,470,502,471,522
230,10,11.58,487,502,506.67,513,1,507,507,512,517
233,11,19,496,522,504.33,512.67,1,503,519,507,522
243,7,11.17,489,522,485.67,511.33,0,476,512,452,528
265,14,15.92,521.5,519,519.67,524.33,1,510,516,517,522
279,5,9.17,467,493,460.67,504.33,1,458,488,437,497
281,15,17,514.5,523,522.67,532.33,1,522,531,528,522
291,12,13.58,509.5,518,512.33,526.33,0,519,528,522,539
294,17,18.5,534.5,547.5,555.33,549.33,1,549,556,561,561
305,6,7.17,483,491.5,454.67,470,0,458,482,442,452
358,8,12.17,490,520,466.67,497.67,1,476,502,466,507
375,13,16.58,509,506,507.67,524.33,1,493,522,517,512
378,12,15.5,500.5,518,504.33,528.33,1,489,529,512,528
392,15,24,538.5,534,548,,1,546,542,556,
401,10,14,518,521,519.67,552.67,1,513,538,522,551
405,10,20,492,518.5,498.33,,0,503,529,497,
407,10,20,505,518,506.33,,0,503,529,517,
409,6,10.08,469.5,490.5,468.33,497.67,1,467,484,456,502
417,8,18,501,532,496,,0,500,545,492,
423,14,15.5,474.5,484.5,507.67,509.67,1,510,510,476,476
436,19,20.83,543.5,553.5,541.67,553.33,0,543,556,577,572
447,10,13.83,477.5,513,492,511,1,467,512,471,522
457,9,10.58,497.5,515,493,503,0,493,500,497,517
464,8,9.33,499.5,506.5,493,495,1,500,493,481,497
465,10,11.33,501.5,520,514.67,528,0,519,534,492,507
466,10,12,507.5,504.5,495,507.67,0,493,489,497,507
468,12,13.83,496.5,505,497.67,508,1,507,503,492,507
471,7,8.33,507,513,480.67,499.67,1,482,503,487,487
472,10,11.83,499,512,503.67,518,1,500,503,512,528
473,6,7.17,458,459,449.33,468.33,0,440,467,433,433
480,16,26,510,533,545.33,,0,537,542,545,
498,7,10.75,462.5,502,470,484,1,467,495,461,497
499,8,18,498,520,484,,1,489,535,497,
