"condition","MSE_FDA","Bias_FDA","ISE_FDA","IE_FDA","MSE_LCS","Bias_LCS","ISE_LCS","IE_LCS"
"functional_heterogeneous_n100_tp2","4.03 (12.9)","-0.529 (1.86)","113 (206)","-11 (31.5)","5.11 (293)","-1.41 (168)","281 (2850)","-35.4 (2760)"
"functional_heterogeneous_n100_tp3","4.03 (13.7)","-0.356 (1.87)","112 (224)","-6.89 (33.1)","0.116 (0.213)","0.0312 (0.139)","112 (988)","7.56 (908)"
"functional_heterogeneous_n250_tp2","2.49 (9.9)","-0.355 (1.48)","74.8 (143)","-7.16 (25.5)","0.0672 (0.127)","0.0159 (0.0936)","215 (1940)","-5.91 (769)"
"functional_heterogeneous_n250_tp3","2.27 (8.18)","-0.303 (1.39)","69.7 (142)","-6 (24.5)","0.114 (0.209)","0.0304 (0.136)","91.7 (171)","-2.6 (27.2)"
"functional_heterogeneous_n500_tp2","2.04 (8.05)","-0.247 (1.35)","67.6 (137)","-5.04 (24.2)","0.0671 (0.125)","0.0158 (0.0918)","170 (1190)","-2.22 (326)"
"functional_heterogeneous_n500_tp3","1.97 (7.84)","-0.153 (1.32)","63.3 (130)","-2.89 (23.5)","0.116 (0.214)","0.0309 (0.138)","92.2 (175)","-2.76 (27.3)"
"heterogeneous_n100_tp2","21.3 (45.2)","-1.01 (4.44)","479 (808)","-18.3 (85.1)","0.0049 (0.0185)","-0.00127 (0.0222)","295 (974)","-3.02 (72.1)"
"heterogeneous_n100_tp3","17 (33.7)","-0.857 (3.95)","376 (634)","-15.4 (75.5)","0.025 (0.0745)","-0.00512 (0.0579)","220 (382)","2.93 (45.8)"
"heterogeneous_n250_tp2","13 (25.9)","-0.639 (3.5)","293 (467)","-12 (65.9)","0.0048 (0.0201)","-0.000788 (0.0219)","275 (563)","-2.98 (56.1)"
"heterogeneous_n250_tp3","13.4 (26.5)","-0.51 (3.55)","296 (464)","-9.4 (67.2)","0.0253 (0.0718)","-0.00544 (0.058)","212 (356)","2.16 (45.4)"
"heterogeneous_n500_tp2","11.3 (23.6)","-0.411 (3.27)","257 (417)","-7.47 (61.9)","0.00466 (0.0176)","-0.000729 (0.0215)","276 (498)","-3 (56)"
"heterogeneous_n500_tp3","11.4 (24)","-0.333 (3.28)","256 (420)","-5.87 (62.1)","0.0255 (0.07)","-0.00554 (0.0581)","216 (363)","2.36 (46.1)"
"homogeneous_n100_tp2","3.69 (15.5)","-0.43 (1.79)","98.3 (215)","-8.51 (30.2)","0.00739 (0.0251)","-0.00241 (0.0258)","115 (292)","-0.0157 (35.3)"
"homogeneous_n100_tp3","3.08 (12.7)","-0.324 (1.64)","85.8 (202)","-5.9 (28.9)","0.0288 (0.0798)","-0.00503 (0.0496)","91 (207)","2.83 (27.7)"
"homogeneous_n250_tp2","2.41 (9.22)","-0.285 (1.47)","65.5 (146)","-5.51 (25.2)","0.00697 (0.0267)","-0.00201 (0.0254)","110 (290)","0.156 (34.9)"
"homogeneous_n250_tp3","2.67 (12.1)","-0.186 (1.55)","69.4 (165)","-3.22 (26.5)","0.029 (0.0799)","-0.00541 (0.0496)","81.9 (186)","2.02 (27.4)"
"homogeneous_n500_tp2","1.94 (8.69)","-0.248 (1.31)","55.6 (131)","-4.6 (22.9)","0.00656 (0.0232)","-0.00197 (0.0248)","111 (291)","0.386 (35.3)"
"homogeneous_n500_tp3","1.85 (8.37)","-0.164 (1.28)","51.8 (123)","-2.81 (22.3)","0.0291 (0.0772)","-0.00559 (0.0498)","81.7 (188)","2.04 (27.7)"
